Nr;DateTime;SPY Open;SPY High;SPY Low;SPY Close;SPY Volume;SPY Yield C/O;^GDAXI Open;^GDAXI High;^GDAXI Low;^GDAXI Close;^GDAXI Volume;^GDAXI Yield C/O
282;2004/10/25 12:00:000;109,75;113,64;109,35;113,2;55091500;3,0951113813801947;3880,48;3994,19;3838,98;3960,25;0;2,034829726305153
283;2004/11/01 12:00:000;113,56;117,64;113,2;117,28;57705700;3,223290653357094;3961,18;4111,78;3959,25;4063,58;0;2,5522397801668375
284;2004/11/08 12:00:000;116,98;119,0;116,72;118,79;43446800;1,5354248286568617;4063,83;4162,37;4051,61;4143,35;0;1,937876067997528
285;2004/11/15 12:00:000;118,5;119,14;117,14;117,42;43190200;-0,9155709939146038;4162,93;4202,45;4106,87;4134,89;0;-0,6758427329177952
286;2004/11/22 12:00:000;117,17;118,98;117,03;118,35;31185300;1,0020464279928587;4115,91;4161,55;4088,59;4154,27;0;0,9276769090822059
287;2004/11/29 12:00:000;118,79;120,14;117,48;119,25;54855100;0,38649014670023624;4160,89;4233,52;4107,62;4208,87;0;1,1465209416726578
288;2004/12/06 12:00:000;119,21;119,64;117,73;119,33;47544800;0,10061206516542315;4199,25;4231,46;4131,24;4174,55;0;-0,5899369852453373
289;2004/12/13 12:00:000;119,76;121,24;119,16;119,44;49828900;-0,26755868804380106;4189,34;4250,05;4173,59;4182,27;0;-0,16890422943285519
290;2004/12/20 12:00:000;119,75;121,28;119,17;120,77;34357100;0,8481673996259157;4178,17;4253,68;4176,38;4251,62;0;1,7426735145996697
291;2004/12/27 12:00:000;121,2;121,66;120,39;120,87;25148600;-0,272648576384849;4254,41;4272,18;4235,36;4256,08;5391300;0,039245684359771285
292;2005/01/03 12:00:000;121,56;121,76;118,0;118,44;58849000;-2,600146481520183;4260,92;4325,77;4242,07;4316,4;0;1,2936622101378887
293;2005/01/10 12:00:000;118,34;119,46;117,5;118,24;57990700;-0,08453800486563945;4311,86;4324,38;4191,14;4232,36;0;-1,8609608446498456
296;2005/01/24 12:00:000;117,09;117,75;116,37;117,43;60099900;0,2899541516356428;4195,37;4245,08;4160,83;4201,81;0;0,1533848568831711
297;2005/01/31 12:00:000;117,95;120,43;117,71;120,23;50740900;1,914576913313379;4211,86;4340,27;4211,86;4339,28;0;2,9804080379353497
298;2005/02/07 12:00:000;120,25;121,04;119,25;120,77;47789300;0,43150013014132793;4342,75;4391,79;4338,96;4387,8;0;1,0320174522927685
299;2005/02/14 12:00:000;120,69;121,46;119,9;120,39;47531000;-0,24888016828715157;4395,37;4409,09;4348,66;4359,47;0;-0,8201223830359086
302;2005/02/28 12:00:000;121,15;122,83;120,04;122,73;59660300;1,2957373346882033;4360,34;4424,28;4335,04;4423,52;0;1,4385723265832002
303;2005/03/07 12:00:000;122,66;123,25;120,16;120,39;56838700;-1,86798272509026;4424,77;4435,31;4330,21;4360,49;0;-1,463386334060432
304;2005/03/14 12:00:000;120,61;121,46;118,15;118,54;59293000;-1,7311743235459427;4353,73;4392,17;4295,7;4327,18;0;-0,611688930851448
305;2005/03/21 12:00:000;118,71;118,93;116,75;117,14;69116600;-1,3313743403806386;4322,47;4347,72;4275,55;4343,6;0;0,48764992373778276
308;2005/04/04 12:00:000;117,36;119,26;116,74;118,0;56442100;0,5438490630938427;4355,84;4413,24;4323,24;4400,68;0;1,0241600987548074
309;2005/04/11 12:00:000;118,29;119,06;114,1;114,15;84367100;-3,5625863581841015;4388,81;4422,88;4309,25;4312,25;0;-1,759831006316483
310;2005/04/18 12:00:000;114,12;116,5;113,55;115,57;89699800;1,2625880642050546;4266,27;4266,27;4159,95;4223,04;0;-1,0184661339272265
311;2005/04/25 12:00:000;115,86;116,77;113,97;115,75;77103400;-0,09498727021346305;4214,97;4249,86;4157,51;4184,84;0;-0,7174002560349052
312;2005/05/02 12:00:000;116,07;118,0;115,52;117,09;77480900;0,8749412480102146;4208,63;4314,98;4205,05;4311,06;0;2,404663449446681
313;2005/05/09 12:00:000;117,21;118,08;114,8;115,72;78073000;-1,2793717627154508;4305,69;4306,32;4232,4;4275,7;0;-0,698957210766182
314;2005/05/16 12:00:000;115,7;119,41;115,66;119,12;59267400;2,9130754176122595;4266,82;4379,57;4232,67;4360,68;0;2,17591893909587
315;2005/05/23 12:00:000;119,21;120,25;118,83;120,25;43432600;0,8686265255960453;4383,02;4453,01;4374,49;4444,71;0;1,3976640481850076
318;2005/06/06 12:00:000;119,95;121,25;119,44;120,2;48509500;0,2082032815403585;4514,59;4601,05;4490,12;4586,1;0;1,5715615363736086
319;2005/06/13 12:00:000;119,94;121,9;119,81;121,36;46905900;1,1769717299913123;4597,33;4623,58;4537,91;4604,57;0;0,1573588388042058
320;2005/06/20 12:00:000;121,08;121,94;118,84;118,98;49593400;-1,7496072393758264;4601,99;4637,34;4560,49;4566,48;0;-0,7746151224420696
321;2005/06/27 12:00:000;118,97;120,4;118,75;119,53;48740100;0,4696025401454947;4547,27;4623,8;4517,44;4617,07;0;1,5233251879283392
324;2005/07/11 12:00:000;121,33;123,44;121,31;122,84;52491200;1,236858950883999;4616,36;4723,65;4616,36;4712,9;0;2,0696914042422483
325;2005/07/18 12:00:000;122,5;123,73;122,05;123,54;67791800;0,8453960282971462;4717,59;4865,72;4705,29;4836,9;0;2,4975943675648393
326;2005/07/25 12:00:000;123,41;124,64;122,85;123,74;50696100;0,2670444637750464;4843,69;4913,02;4819,42;4886,5;0;0,8799473850728404
